access_id,access_lat,access_lon,parent_station
acc_4_1_1,40.46682,-3.68918,est_90_21
acc_4_1_1040,40.46555,-3.68877,est_90_21
acc_4_1_1043,40.46728,-3.68915,est_90_21
acc_4_1_1044,40.46702,-3.68918,est_90_21
acc_4_1_2,40.46722,-3.68952,est_90_21
acc_4_1_3,40.46629,-3.69036,est_90_21
acc_4_1_4,40.46546,-3.68891,est_90_21
acc_4_1_773,40.46621,-3.69028,est_90_21
acc_4_10_1102,40.4263,-3.70067,est_4_10
acc_4_10_35,40.4262,-3.70103,est_4_10
acc_4_10_36,40.42569,-3.70111,est_4_10
acc_4_11_1105,40.41986,-3.70158,est_4_11
acc_4_11_37,40.41991,-3.7013,est_4_11
acc_4_11_38,40.41992,-3.70183,est_4_11
acc_4_11_39,40.42013,-3.70181,est_4_11
acc_4_12_1034,40.41707,-3.70296,est_90_58
acc_4_12_1048,40.41685,-3.70296,est_90_58
acc_4_12_41,40.41665,-3.70353,est_90_58
acc_4_12_42,40.41714,-3.70329,est_90_58
acc_4_12_43,40.41671,-3.70458,est_90_58
acc_4_12_776,40.41667,-3.70441,est_90_58
acc_4_12_777,40.41724,-3.70415,est_90_58
acc_4_13_44,40.41239,-3.70505,est_4_13
acc_4_13_45,40.41245,-3.70373,est_4_13
acc_4_14_46,40.4123,-3.69865,est_4_14
acc_4_14_47,40.41242,-3.69958,est_4_14
acc_4_14_49,40.41152,-3.69733,est_4_14
acc_4_14_50,40.41142,-3.69742,est_4_14
acc_4_15_51,40.409,-3.69247,est_4_15
acc_4_15_52,40.40841,-3.69052,est_4_15
acc_4_16_53,40.40754,-3.68916,est_90_54
acc_4_16_54,40.40701,-3.68818,est_90_54
acc_4_16_572,40.40746,-3.68899,est_90_54
acc_4_17_57,40.40443,-3.68067,est_4_17
acc_4_17_58,40.40452,-3.68091,est_4_17
acc_4_17_59,40.40489,-3.68171,est_4_17
acc_4_18_1050,40.40157,-3.67428,est_4_18
acc_4_18_60,40.40155,-3.67479,est_4_18
acc_4_18_61,40.40147,-3.67438,est_4_18
acc_4_18_62,40.4023,-3.67615,est_4_18
acc_4_19_63,40.39766,-3.66815,est_4_19
acc_4_19_64,40.3978,-3.66808,est_4_19
acc_4_19_65,40.39851,-3.66897,est_4_19
acc_4_2_5,40.46409,-3.69577,est_4_2
acc_4_2_6,40.46479,-3.69399,est_4_2
acc_4_20_66,40.39615,-3.66527,est_4_20
acc_4_20_67,40.39626,-3.66517,est_4_20
acc_4_20_68,40.39536,-3.66341,est_4_20
acc_4_20_69,40.39523,-3.66352,est_4_20
acc_4_21_1093,40.39297,-3.65884,est_4_21
acc_4_21_1094,40.3927,-3.65886,est_4_21
acc_4_21_70,40.3933,-3.65985,est_4_21
acc_4_21_71,40.39342,-3.65975,est_4_21
acc_4_21_72,40.39236,-3.65774,est_4_21
acc_4_21_73,40.39224,-3.65785,est_4_21
acc_4_22_74,40.39172,-3.65401,est_4_22
acc_4_22_75,40.3914,-3.65394,est_4_22
acc_4_23_76,40.39015,-3.64527,est_4_23
acc_4_23_77,40.38969,-3.64562,est_4_23
acc_4_23_78,40.38989,-3.64545,est_4_23
acc_4_24_79,40.38757,-3.63998,est_4_24
acc_4_24_80,40.38686,-3.63959,est_4_24
acc_4_24_81,40.38706,-3.6398,est_4_24
acc_4_24_82,40.38737,-3.63971,est_4_24
acc_4_25_577,40.38196,-3.62453,est_4_25
acc_4_25_83,40.38224,-3.62498,est_4_25
acc_4_25_84,40.38208,-3.62467,est_4_25
acc_4_25_85,40.38208,-3.62473,est_4_25
acc_4_25_86,40.3831,-3.62508,est_4_25
acc_4_26_87,40.37933,-3.62105,est_4_26
acc_4_26_88,40.37978,-3.62187,est_4_26
acc_4_26_89,40.37949,-3.62103,est_4_26
acc_4_261_474,40.47314,-3.68308,est_90_25
acc_4_261_642,40.47323,-3.68313,est_90_25
acc_4_262_643,40.47683,-3.67642,est_4_262
acc_4_262_644,40.47705,-3.67684,est_4_262
acc_4_263_645,40.4802,-3.66682,est_4_263
acc_4_263_646,40.48015,-3.66693,est_4_263
acc_4_27_90,40.372,-3.61866,est_4_27
acc_4_27_91,40.37233,-3.61867,est_4_27
acc_4_27_92,40.37213,-3.61891,est_4_27
acc_4_293_713,40.37029,-3.61346,est_4_293
acc_4_293_714,40.37025,-3.61337,est_4_293
acc_4_294_715,40.36317,-3.59958,est_4_294
acc_4_294_716,40.36325,-3.59948,est_4_294
acc_4_295_717,40.36004,-3.59319,est_4_295
acc_4_295_718,40.36009,-3.59312,est_4_295
acc_4_3_7,40.45982,-3.69929,est_4_3
acc_4_3_8,40.46115,-3.69788,est_4_3
acc_4_4_10,40.45367,-3.70283,est_4_4
acc_4_4_11,40.45525,-3.70248,est_4_4
acc_4_4_12,40.45533,-3.70274,est_4_4
acc_4_4_9,40.45363,-3.70309,est_4_4
acc_4_5_13,40.45026,-3.70361,est_4_5
acc_4_5_14,40.45017,-3.70337,est_4_5
acc_4_6_15,40.44671,-3.70428,est_4_6
acc_4_6_16,40.44652,-3.70362,est_4_6
acc_4_6_17,40.44689,-3.70456,est_4_6
acc_4_6_18,40.44737,-3.70406,est_4_6
acc_4_6_19,40.44534,-3.70258,est_4_6
acc_4_6_615,40.44624,-3.70375,est_4_6
acc_4_7_20,40.44189,-3.70113,est_4_7
acc_4_7_21,40.44203,-3.7011,est_4_7
acc_4_7_22,40.44052,-3.70127,est_4_7
acc_4_8_23,40.43506,-3.6982,est_4_8
acc_4_8_24,40.43475,-3.69853,est_4_8
acc_4_8_25,40.43389,-3.6984,est_4_8
acc_4_8_26,40.43472,-3.69924,est_4_8
acc_4_8_27,40.4349,-3.69932,est_4_8
acc_4_8_774,40.43507,-3.69846,est_4_8
acc_4_8_775,40.43479,-3.69896,est_4_8
acc_4_9_1101,40.42904,-3.70166,est_4_9
acc_4_9_28,40.42926,-3.70193,est_4_9
acc_4_9_30,40.42876,-3.70206,est_4_9
acc_4_9_31,40.43029,-3.70023,est_4_9
acc_4_9_32,40.43086,-3.69987,est_4_9
acc_4_9_33,40.43047,-3.70032,est_4_9
acc_4_260_640,40.42647,-3.65071,est_4_260
acc_4_260_641,40.42651,-3.65042,est_4_260
acc_4_28_93,40.43104,-3.66329,est_4_28
acc_4_28_94,40.4312,-3.66338,est_4_28
acc_4_29_95,40.4282,-3.66951,est_4_29
acc_4_29_96,40.42762,-3.66927,est_4_29
acc_4_30_100,40.42421,-3.6761,est_4_30
acc_4_30_101,40.42478,-3.67758,est_4_30
acc_4_30_778,40.42494,-3.67662,est_4_30
acc_4_30_779,40.42495,-3.67666,est_4_30
acc_4_30_780,40.42423,-3.67619,est_4_30
acc_4_30_781,40.42422,-3.67615,est_4_30
acc_4_30_782,40.42441,-3.67734,est_4_30
acc_4_30_97,40.42499,-3.67556,est_4_30
acc_4_30_98,40.42508,-3.67581,est_4_30
acc_4_30_99,40.4239,-3.67614,est_4_30
acc_4_31_103,40.42308,-3.67976,est_4_31
acc_4_31_1103,40.42334,-3.68041,est_4_31
acc_4_31_1104,40.4233,-3.68041,est_4_31
acc_4_32_104,40.42082,-3.68582,est_4_32
acc_4_32_105,40.42096,-3.68581,est_4_32
acc_4_32_106,40.42005,-3.68612,est_4_32
acc_4_32_107,40.42044,-3.6871,est_4_32
acc_4_322_1058,40.42374,-3.63925,est_4_322
acc_4_322_1059,40.42358,-3.63909,est_4_322
acc_4_323_1060,40.41767,-3.62301,est_4_323
acc_4_323_1061,40.41806,-3.62326,est_4_323
acc_4_323_1062,40.41864,-3.62319,est_4_323
acc_4_323_1063,40.41861,-3.6234,est_4_323
acc_4_324_1064,40.42233,-3.61196,est_4_324
acc_4_324_1065,40.42246,-3.61162,est_4_324
acc_4_325_1066,40.4239,-3.60366,est_4_325
acc_4_325_1067,40.42376,-3.60304,est_4_325
acc_4_33_108,40.41937,-3.69419,est_4_33
acc_4_33_109,40.41895,-3.69451,est_4_33
acc_4_33_110,40.41874,-3.69563,est_4_33
acc_4_33_111,40.41907,-3.69584,est_4_33
acc_4_34_1097,40.41807,-3.69913,est_4_34
acc_4_34_1098,40.4179,-3.69956,est_4_34
acc_4_36_1054,40.41806,-3.70936,est_4_36
acc_4_36_1056,40.41823,-3.70935,est_4_36
acc_4_36_1057,40.41811,-3.70925,est_4_36
acc_4_37_116,40.42044,-3.7086,est_4_37
acc_4_37_117,40.4213,-3.70778,est_4_37
acc_4_39_120,40.42988,-3.70604,est_4_39
acc_4_39_121,40.42967,-3.7053,est_4_39
acc_4_40_122,40.43339,-3.70472,est_4_40
acc_4_40_123,40.43311,-3.70434,est_4_40
acc_4_41_124,40.43832,-3.70412,est_4_41
acc_4_41_125,40.43825,-3.70434,est_4_41
acc_4_41_126,40.43846,-3.70441,est_4_41
acc_4_267_651,40.3842,-3.69788,est_4_267
acc_4_267_652,40.38385,-3.6983,est_4_267
acc_4_267_653,40.38389,-3.69837,est_4_267
acc_4_268_654,40.37549,-3.69588,est_4_268
acc_4_268_655,40.37521,-3.69575,est_4_268
acc_4_269_656,40.36992,-3.69416,est_4_269
acc_4_269_657,40.36988,-3.69462,est_4_269
acc_4_269_658,40.36961,-3.6941,est_4_269
acc_4_270_659,40.35954,-3.69295,est_4_270
acc_4_270_660,40.36005,-3.69367,est_4_270
acc_4_270_661,40.35973,-3.69366,est_4_270
acc_4_271_662,40.35057,-3.69335,est_4_271
acc_4_271_663,40.35109,-3.69256,est_4_271
acc_4_271_664,40.35081,-3.69256,est_4_271
acc_4_272_665,40.34112,-3.69249,est_4_272
acc_4_272_666,40.34167,-3.69312,est_4_272
acc_4_272_667,40.34145,-3.69248,est_4_272
acc_4_273_668,40.341,-3.71271,est_4_273
acc_4_273_670,40.34104,-3.71278,est_4_273
acc_4_38_118,40.4242,-3.70746,est_4_50
acc_4_38_119,40.4255,-3.70742,est_4_50
acc_4_43_127,40.39159,-3.69484,est_4_43
acc_4_43_128,40.39328,-3.69493,est_4_43
acc_4_43_783,40.39139,-3.69454,est_4_43
acc_4_43_784,40.39147,-3.69463,est_4_43
acc_4_44_129,40.39861,-3.69433,est_4_44
acc_4_44_130,40.39978,-3.6942,est_4_44
acc_4_44_785,40.40024,-3.6939,est_4_44
acc_4_44_786,40.40002,-3.69414,est_4_44
acc_4_45_131,40.40293,-3.69396,est_4_45
acc_4_45_787,40.40316,-3.6944,est_4_45
acc_4_45_788,40.40314,-3.69414,est_4_45
acc_4_46_136,40.40459,-3.70251,est_4_46
acc_4_46_137,40.40508,-3.70181,est_4_46
acc_4_46_789,40.40467,-3.7029,est_4_46
acc_4_47_790,40.4084,-3.70037,est_4_47
acc_4_47_791,40.40845,-3.70074,est_4_47
acc_4_49_139,40.41971,-3.70549,est_4_49
acc_4_49_140,40.42002,-3.70581,est_4_49
acc_4_49_141,40.42014,-3.70524,est_4_49
acc_4_49_142,40.42049,-3.70607,est_4_49
acc_4_49_792,40.42009,-3.70613,est_4_49
acc_4_49_793,40.4201,-3.70614,est_4_49
acc_4_49_794,40.42013,-3.7058,est_4_49
acc_4_50_143,40.42319,-3.71097,est_4_50
acc_4_50_144,40.42331,-3.71051,est_4_50
acc_4_50_145,40.42415,-3.71196,est_4_50
acc_4_50_146,40.42364,-3.71067,est_4_50
acc_4_50_147,40.42367,-3.71094,est_4_50
acc_4_50_148,40.42435,-3.70925,est_4_50
acc_4_50_149,40.42435,-3.70924,est_4_50
acc_4_50_795,40.42414,-3.71182,est_4_50
acc_4_51_150,40.42697,-3.71375,est_4_51
acc_4_51_618,40.42718,-3.71358,est_4_51
acc_4_51_796,40.42696,-3.71342,est_4_51
acc_4_52_1099,40.43056,-3.71442,est_4_52
acc_4_52_151,40.43027,-3.71578,est_4_52
acc_4_52_152,40.43068,-3.71559,est_4_52
acc_4_52_153,40.43138,-3.71692,est_4_52
acc_4_52_154,40.43056,-3.71435,est_4_52
acc_4_52_797,40.43068,-3.71556,est_4_52
acc_4_53_155,40.43473,-3.71961,est_90_14
acc_4_53_156,40.43469,-3.71897,est_90_14
acc_4_53_157,40.4347,-3.71949,est_90_14
acc_4_53_579,40.4351,-3.71924,est_90_14
acc_4_53_798,40.43364,-3.71782,est_90_14
acc_4_53_807,40.43381,-3.71893,est_90_14
acc_4_92_251,40.40376,-3.70656,est_4_46
acc_4_264_647,40.47488,-3.65234,est_4_264
acc_4_264_648,40.4742,-3.65204,est_4_264
acc_4_265_649,40.47684,-3.66285,est_4_265
acc_4_265_650,40.47684,-3.66285,est_4_265
acc_4_57_160,40.42744,-3.69593,est_4_57
acc_4_57_161,40.42738,-3.69544,est_4_57
acc_4_57_162,40.42803,-3.6956,est_4_57
acc_4_57_163,40.42784,-3.69707,est_4_57
acc_4_58_164,40.42573,-3.69167,est_4_58
acc_4_58_165,40.4254,-3.69167,est_4_58
acc_4_59_167,40.42548,-3.68761,est_4_59
acc_4_59_168,40.42528,-3.6876,est_4_59
