route_id,route_short_name,route_long_name,route_type
4__1___,1,Pinar de Chamartín-Valdecarros,mode_1
4__2___,2,Las Rosas-Cuatro Caminos,mode_1
4__3___,3,Villaverde Alto-Moncloa,mode_1
4__4___,4,Argüelles-Pinar de Chamartín,mode_1
4__5___,5,Alameda de Osuna-Casa de Campo,mode_1
4__6___,6,Circular,mode_1
4__7___,7,Hospital del Henares-Pitis,mode_1
4__8___,8,Nuevos Ministerios - Aeropuerto T4,mode_1
4__9___,9,Paco de Lucía-Arganda del Rey,mode_1
4__10___,10,Hospital Infanta Sofía-Puerta del Sur,mode_1
4__11___,11,Plaza Elíptica-La Fortuna,mode_1
4__12___,12,MetroSur,mode_1
4__R___,R,Opera-Príncipe Pío,mode_1
10__ML1___,ML1,Pinar de Chamartín - Las Tablas,mode_0
10__ML2___,ML2,Colonia Jardín - Estación de Aravaca,mode_0
10__ML3___,ML3,Colonia Jardín - Puerta de Boadilla,mode_0
10__ML4___,ML4,Tranvía de Parla (Línea Circular),mode_0
5__C1___,C1,Príncipe Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,mode_2
5__C2___,C2,Guadalajara-Alcalá de Henares-Atocha-Chamartín,mode_2
5__C3___,C3,Aranjuez-Atocha-Sol-Chamartín,mode_2
5__C4_A__,C4A,Parla-Atocha-Sol-Chamartín-Cantoblanco-Alcobendas S.Sebastián de los Reyes,mode_2
5__C4_B__,C4B,Parla-Atocha-Sol-Chamartín-Cantoblanco-Colmenar Viejo,mode_2
5__C5___,C5,Móstoles El Soto-Atocha-Fuenlabrada-Humanes,mode_2
5__C7___,C7,Alcalá de Henares-Atocha-Chamartín-P.Pío,mode_2
5__C8___,C8,Guadalajara-Alcalá de Henares-Atocha-Chamartín-Villalba-Cercedilla,mode_2
5__C9___,C9,Cercedilla-Cotos,mode_2
5__C10___,C10,Villalba-Príncipe Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,mode_2
6__1___,1,CRISTO REY-PROSPERIDAD,mode_3
6__2___,2,MANUEL BECERRA-REINA VICTORIA,mode_3
6__3___,3,PUERTA TOLEDO-SAN AMARO,mode_3
6__4___,4,CIUDAD LINEAL-PUERTA ARGANDA,mode_3
6__5___,5,SOL/SEVILLA-CHAMARTIN,mode_3
6__6___,6,BENAVENTE-ORCASITAS,mode_3
6__7___,7,ALONSO MARTINEZ-MANOTERAS,mode_3
6__8___,8,LEGAZPI-VALDEBERNARDO,mode_3
6__9___,9,SOL/SEVILLA-HORTALEZA,mode_3
6__10___,10,CIBELES-PALOMERAS,mode_3
6__11___,11,MARQUES DE VIANA-BARRIO BLANCO,mode_3
6__12___,12,CRISTO REY-MARQUES DE ZAFRA,mode_3
6__14___,14,CONDE DE CASAL-PIO XII,mode_3
6__15___,15,SOL/SEVILLA-LA ELIPA,mode_3
6__16___,16,MONCLOA-PIO XII,mode_3
6__17___,17,PLAZA MAYOR-PARQUE EUROPA,mode_3
6__18___,18,PLAZA MAYOR-VILLAVERDE CRUCE,mode_3
6__19___,19,PLAZA CATALUÑA-LEGAZPI,mode_3
6__20___,20,SOL/SEVILLA-PAVONES,mode_3
6__21___,21,PINTOR ROSALES-EL SALVADOR,mode_3
6__22___,22,LEGAZPI-VILLAVERDE ALTO,mode_3
6__23___,23,PLAZA MAYOR-VILLAVERDE CRUCE,mode_3
6__24___,24,ESTACION DE ATOCHA-EL POZO,mode_3
6__25___,25,PLAZA ESPAÑA-CASA DE CAMPO,mode_3
6__26___,26,TIRSO DE MOLINA-DIEGO DE LEON,mode_3
6__27___,27,EMBAJADORES-PLAZA CASTILLA,mode_3
6__28___,28,PUERTA ALCALA-Bº CANILLEJAS,mode_3
6__29___,29,FELIPE II-MANOTERAS,mode_3
6__30___,30,FELIPE II-PAVONES,mode_3
6__31___,31,PLAZA MAYOR-ALUCHE,mode_3
6__32___,32,BENAVENTE-PAVONES,mode_3
6__33___,33,PRINCIPE PIO-CASA DE CAMPO,mode_3
6__34___,34,CIBELES-LAS AGUILAS,mode_3
6__35___,35,PLAZA MAYOR-CARABANCHEL ALTO,mode_3
6__36___,36,ATOCHA-CAMPAMENTO,mode_3
6__37___,37,CUATRO CAMINOS-PUENTE VALLECAS,mode_3
6__38___,38,MANUEL BECERRA-LAS ROSAS,mode_3
6__39___,39,PLAZA ESPAÑA-SAN IGNACIO,mode_3
6__40___,40,TRIBUNAL-ALFONSO XIII,mode_3
6__41___,41,ATOCHA-COLONIA MANZANARES,mode_3
6__42___,42,PLAZA CASTILLA-Bº PEÑAGRANDE,mode_3
6__43___,43,FELIPE II-ESTRECHO,mode_3
6__44___,44,CALLAO-MARQUES DE VIANA,mode_3
6__45___,45,LEGAZPI-REINA VICTORIA,mode_3
6__46___,46,SOL/SEVILLA-MONCLOA,mode_3
6__47___,47,ATOCHA-CARABANCHEL ALTO,mode_3
6__48___,48,MANUEL BECERRA-Bº CANILLEJAS,mode_3
6__49___,49,PLAZA CASTILLA-PITIS,mode_3
6__50___,50,PLAZA MAYOR-AVENIDA MANZANARES,mode_3
6__51___,51,SOL/SEVILLA-PLAZA PERU,mode_3
6__52___,52,SOL/SEVILLA-SANTAMARCA,mode_3
6__53___,53,SOL/SEVILLA-ARTURO SORIA,mode_3
6__54___,54,ESTACION DE ATOCHA-CONGOSTO,mode_3
6__55___,55,ATOCHA-BATAN,mode_3
6__56___,56,DIEGO DE LEON-PUENTE VALLECAS,mode_3
6__57___,57,EST. ATOCHA-ALTO DEL ARENAL,mode_3
6__58___,58,PUENTE VALLECAS-SANTA EUGENIA,mode_3
6__59___,59,EST. ATOCHA-SAN CRISTOBAL,mode_3
6__60___,60,PLAZA CEBADA-ORCASITAS,mode_3
6__61___,61,MONCLOA-NARVAEZ,mode_3
6__62___,62,CRISTO REY-LOS PUERTOS,mode_3
6__63___,63,FELIPE II-SANTA EUGENIA,mode_3
6__64___,64,CUATRO CAMINOS-PITIS,mode_3
6__65___,65,BENAVENTE-GRAN CAPITAN,mode_3
6__66___,66,CUATRO CAMINOS-FUENCARRAL,mode_3
6__67___,67,PLAZA CASTILLA-Bº PEÑAGRANDE,mode_3
6__70___,70,PLAZA CASTILLA-ALSACIA,mode_3
6__71___,71,MANUEL BECERRA-PUERTA ARGANDA,mode_3
6__72___,72,DIEGO DE LEON-HORTALEZA,mode_3
6__73___,73,DIEGO DE LEON-FERIA DE MADRID,mode_3
6__74___,74,PINTOR ROSALES-PARQUE AVENIDAS,mode_3
6__75___,75,CALLAO-COLONIA MANZANARES,mode_3
6__76___,76,PLAZA BEATA-VILLAVERDE ALTO,mode_3
6__77___,77,CIUDAD LINEAL-FIN DE SEMANA,mode_3
6__78___,78,EMBAJADORES-SAN FERMIN,mode_3
6__79___,79,LEGAZPI-VILLAVERDE ALTO,mode_3
6__81___,81,OPORTO-HOSPITAL 12 OCTUBRE,mode_3
6__82___,82,MONCLOA-PITIS,mode_3
6__83___,83,MONCLOA-BARRIO DEL PILAR,mode_3
6__85___,85,ESTACION DE ATOCHA-BUTARQUE,mode_3
6__86___,86,EST. ATOCHA-VILLAVERDE ALTO,mode_3
6__87___,87,REP.DOMINICANA-LAS CARCAVAS,mode_3
6__100___,100,MORATALAZ-VALDERRIVAS,mode_3
6__101___,101,CANILLEJAS-BARAJAS,mode_3
6__102___,102,EST. ATOCHA-ESTACION EL POZO,mode_3
6__103___,103,ESTACION EL POZO-ECOBULEVAR,mode_3
6__104___,104,CIUDAD LINEAL-MAR DE CRISTAL,mode_3
6__105___,105,CIUDAD LINEAL-BARAJAS,mode_3
6__106___,106,MANUEL BECERRA-VICALVARO,mode_3
6__107___,107,PLAZA CASTILLA-HORTALEZA,mode_3
6__108___,108,OPORTO-CEMENTERIO CARABANCHEL,mode_3
6__109___,109,CIUDAD LINEAL-CASTILLO UCLES,mode_3
6__110___,110,MANUEL BECERRA-CMTº ALMUDENA,mode_3
6__111___,111,PUENTE VALLECAS-ENTREVIAS,mode_3
