stop_id,stop_name,address
est_90_21,Intercambiador de Plaza de Castilla,"Intercambiador de Plaza de Castilla,Paseo de la Castellana 189"
est_90_25,Chamartín,"Chamartín,Calle de Agustín de Foxá 40"
est_90_54,Atocha-Renfe,"Atocha-Renfe,Avda de la Ciudad de Barcelona 2 B"
est_90_58,Puerta del Sol,"Puerta del Sol,Plaza de la Puerta del Sol 6"
est_4_10,TRIBUNAL,"TRIBUNAL,Calle de Fuencarral 81"
est_4_11,GRAN VIA,"GRAN VIA,Calle   Gran Vía 23"
est_4_13,TIRSO DE MOLINA,"TIRSO DE MOLINA,Plaza de Tirso de Molina 7"
est_4_14,ANTON MARTIN,"ANTON MARTIN,Calle de Atocha 50"
est_4_15,ESTACION DEL ARTE,"ESTACION DEL ARTE,Plaza del Emperador Carlos V 11"
est_4_17,MENENDEZ PELAYO,"MENENDEZ PELAYO,Avda de la Ciudad de Barcelona 23"
est_4_18,PACIFICO,"PACIFICO,Avda de la Ciudad de Barcelona 79"
est_4_19,PUENTE DE VALLECAS,"PUENTE DE VALLECAS,Avda de la Albufera 1"
est_4_2,VALDEACEDERAS,"VALDEACEDERAS,Calle de Bravo Murillo 332"
est_4_20,NUEVA NUMANCIA,"NUEVA NUMANCIA,Avda de la Albufera 70"
est_4_21,PORTAZGO,"PORTAZGO,Avda de la Albufera 131"
est_4_22,BUENOS AIRES,"BUENOS AIRES,Avda de la Albufera 179"
est_4_23,ALTO DEL ARENAL,"ALTO DEL ARENAL,Calle de Santillana del Mar 21"
est_4_24,MIGUEL HERNANDEZ,"MIGUEL HERNANDEZ,Calle de León Felipe 4 A"
est_4_25,SIERRA DE GUADALUPE,"SIERRA DE GUADALUPE,Avda de la Democracia 1"
est_4_26,VILLA DE VALLECAS,"VILLA DE VALLECAS,Paseo de Federico García Lorca 2"
est_4_262,BAMBU,"BAMBU,Calle del Bambú 14"
est_4_263,PINAR DE CHAMARTIN,"PINAR DE CHAMARTIN,Calle de Arturo Soria 330"
est_4_27,CONGOSTO,"CONGOSTO,Calle del Congosto 48"
est_4_293,LA GAVIA,"LA GAVIA,Avda del Ensanche de Vallecas 16"
est_4_294,LAS SUERTES,"LAS SUERTES,Calle de Cañada del Santísimo 45"
est_4_295,VALDECARROS,"VALDECARROS,Avda del Ensanche de Vallecas 120 A"
est_4_3,TETUAN,"TETUAN,Calle de Bravo Murillo 264"
est_4_4,ESTRECHO,"ESTRECHO,Calle de Bravo Murillo 191"
est_4_5,ALVARADO,"ALVARADO,Calle de Bravo Murillo 138"
est_4_6,CUATRO CAMINOS,"CUATRO CAMINOS,Gta de Cuatro Caminos 2"
est_4_7,RIOS ROSAS,"RIOS ROSAS,Calle de Ríos Rosas 22"
est_4_8,IGLESIA,"IGLESIA,Gta del Pintor Sorolla 2"
est_4_9,BILBAO,"BILBAO,Calle de Sagasta 2"
est_4_260,LA ELIPA,"LA ELIPA,Avda del Marqués de Corbera 58"
est_4_28,VENTAS,"VENTAS,Calle de Alcalá 204"
est_4_29,MANUEL BECERRA,"MANUEL BECERRA,Plaza de Manuel Becerra 1"
est_4_30,GOYA,"GOYA,Calle de Alcalá 96"
est_4_31,PRINCIPE DE VERGARA,"PRINCIPE DE VERGARA,Calle de Alcalá 123"
est_4_32,RETIRO,"RETIRO,Calle de Alcalá 81"
est_4_322,LA ALMUDENA,"LA ALMUDENA,Calle de Arriaga 75"
est_4_323,ALSACIA,"ALSACIA,Plaza de Alsacia S/N"
est_4_324,AVENIDA DE GUADALAJARA,"AVENIDA DE GUADALAJARA,Avda de Guadalajara 110"
est_4_325,LAS ROSAS,"LAS ROSAS,Paseo de Ginebra 35"
est_4_33,BANCO DE ESPAÑA,"BANCO DE ESPAÑA,Calle de Alcalá 49"
est_4_34,SEVILLA,"SEVILLA,Calle de Alcalá 23"
est_4_36,OPERA,"OPERA,Plaza de Isabel II 9"
est_4_37,SANTO DOMINGO,"SANTO DOMINGO,Calle de San Bernardo 11"
est_4_39,SAN BERNARDO,"SAN BERNARDO,Calle de San Bernardo 94"
est_4_40,QUEVEDO,"QUEVEDO,Gta de Quevedo 1"
est_4_41,CANAL,"CANAL,Calle de Bravo Murillo 40"
est_90_14,Intercambiador de Moncloa,"Intercambiador de Moncloa,Plaza de la Moncloa 1"
est_4_267,ALMENDRALES,"ALMENDRALES,Avda de Córdoba 21"
est_4_268,HOSPITAL 12 DE OCTUBRE,"HOSPITAL 12 DE OCTUBRE,Avda de Córdoba 49"
est_4_269,SAN FERMIN-ORCASUR,"SAN FERMIN-ORCASUR,Avda de Andalucía 9"
est_4_270,CIUDAD DE LOS ANGELES,"CIUDAD DE LOS ANGELES,Avda de Andalucía 38"
est_4_271,VILLAVERDE BAJO CRUCE,"VILLAVERDE BAJO CRUCE,Avda de Andalucía 38"
est_4_272,SAN CRISTOBAL,"SAN CRISTOBAL,Avda de Andalucía 81"
est_4_273,VILLAVERDE ALTO,"VILLAVERDE ALTO,Calle del Valle de Tobalina 56"
est_4_43,LEGAZPI,"LEGAZPI,Plaza de Legazpi 2 B"
est_4_44,DELICIAS,"DELICIAS,Paseo de las Delicias 60"
est_4_45,PALOS DE LA FRONTERA,"PALOS DE LA FRONTERA,Calle de Palos de la Frontera 33"
est_4_46,EMBAJADORES,"EMBAJADORES,Gta de Embajadores 10"
est_4_47,LAVAPIES,"LAVAPIES,Plaza de Lavapiés 7"
est_4_49,CALLAO,"CALLAO,Plaza del Callao 3"
est_4_50,PLAZA DE ESPAÑA,"PLAZA DE ESPAÑA,Plaza de España 1"
est_4_51,VENTURA RODRIGUEZ,"VENTURA RODRIGUEZ,Calle de la Princesa 22"
est_4_52,ARGÜELLES,"ARGÜELLES,Calle de Alberto Aguilera 72"
est_90_4,Intercambiador de Avenida de América,"Intercambiador de Avenida de América,Avda de América 9 A"
est_4_264,HORTALEZA,"HORTALEZA,Calle del Capitán Cortés 4"
est_4_265,MANOTERAS,"MANOTERAS,Calle de Bacares 24"
est_4_57,ALONSO MARTINEZ,"ALONSO MARTINEZ,Plaza de Alonso Martínez 4"
est_4_58,COLON,"COLON,Plaza de Colón 2"
est_4_59,SERRANO,"SERRANO,Calle de Goya 19"
est_4_60,VELAZQUEZ,"VELAZQUEZ,Calle de Núñez de Balboa 33"
est_4_62,LISTA,"LISTA,Calle del Conde de Peñalver 45"
est_4_63,DIEGO DE LEON,"DIEGO DE LEON,Calle de Diego de León 69"
est_4_65,PROSPERIDAD,"PROSPERIDAD,Plaza de la Prosperidad 4"
est_4_66,ALFONSO XIII,"ALFONSO XIII,Calle de López de Hoyos 190"
est_4_67,AVENIDA DE LA PAZ,"AVENIDA DE LA PAZ,Avda de Ramón y Cajal 107"
est_4_68,ARTURO SORIA,"ARTURO SORIA,Calle de Arturo Soria 172"
est_4_69,ESPERANZA,"ESPERANZA,Calle de Andorra 51"
est_4_70,CANILLAS,"CANILLAS,Avda de Machupichu 64"
est_4_71,MAR DE CRISTAL,"MAR DE CRISTAL,Gta del Mar de Cristal 1 B"
est_4_72,SAN LORENZO,"SAN LORENZO,Avda de la Barranquilla 9"
est_4_73,PARQUE DE SANTA MARIA,"PARQUE DE SANTA MARIA,Calle de Santa Virgilia 1"
est_90_1,Aluche,"Aluche,Calle de Valmojado 293"
est_4_101,EMPALME,"EMPALME,Calle de Tembleque 105"
est_4_102,CAMPAMENTO,"CAMPAMENTO,Avda del Padre Piquer 7"
est_4_103,CASA DE CAMPO,"CASA DE CAMPO,Ctra del Zoo 1"
est_4_252,ALAMEDA DE OSUNA,"ALAMEDA DE OSUNA,Calle de la Corbeta 14"
est_4_253,EL CAPRICHO,"EL CAPRICHO,Calle de Pinos de Osuna 15"
est_4_74,CANILLEJAS,"CANILLEJAS,Calle de Alcalá 631"
est_4_75,TORRE ARIAS,"TORRE ARIAS,Calle de Alcalá 557"
est_4_76,SUANZES,"SUANZES,Calle de Alcalá 527"
est_4_77,CIUDAD LINEAL,"CIUDAD LINEAL,Calle de Arturo Soria 2"
est_4_78,PUEBLO NUEVO,"PUEBLO NUEVO,Calle de Alcalá 372"
est_4_79,QUINTANA,"QUINTANA,Calle de la Virgen del Sagrario 2"
est_4_80,EL CARMEN,"EL CARMEN,Calle de Raquel Méller 2"
est_4_83,NUÑEZ DE BALBOA,"NUÑEZ DE BALBOA,Calle de Juan Bravo 20"
est_4_84,RUBEN DARIO,"RUBEN DARIO,Paseo de Eduardo Dato 33"
